Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682828
[82]	validation_0-logloss:0.600823
[83]	validation_0-logloss:0.601339
[84]	validation_0-logloss:0.601262
[85]	validation_0-logloss:0.601668
[86]	validation_0-logloss:0.601794
[87]	validation_0-logloss:0.602098
[88]	validation_0-logloss:0.602693
[89]	validation_0-logloss:0.602941
[90]	validation_0-logloss:0.603056
[91]	validation_0-logloss:0.603071
[92]	validation_0-logloss:0.603791
[93]	validation_0-logloss:0.603828
[94]	validation_0-logloss:0.604096
[95]	validation_0-logloss:0.604186
[96]	validation_0-logloss:0.60475
[97]	validation_0-logloss:0.60456
[98]	validation_0-logloss:0.60455
[99]	validation_0-logloss:0.604623
[100]	validation_0-logloss:0.604513
[101]	validation_0-logloss:0.604688
[102]	validation_0-logloss:0.604709
[103]	validation_0-logloss:0.604744
[104]	validation_0-logloss:0.605229
[105]	validation_0-logloss:0.605415
[106]	validation_0-logloss:0.605631
[107]	validation_0-logloss:0.605675
[108]	validation_0-logloss:0.605954
[109]	validation_0-logloss:0.606181
[110]	validation_0-logloss:0.606325
[111]	validation_0-logloss:0.606476
[112]	validation_0-logloss:0.606569
[113]	validation_0-logloss:0.606636
[114]	validation_0-logloss:0.606631
[115]	validation_0-logloss:0.607044
[116]	validation_0-logloss:0.607134
[117]	validation_0-logloss:0.607074
[118]	validation_0-logloss:0.607258
[119]	validation_0-logloss:0.607365
[120]	validation_0-logloss:0.607567
[121]	validation_0-logloss:0.607724
[122]	validation_0-logloss:0.607637
[123]	validation_0-logloss:0.607657
[124]	validation_0-logloss:0.607705
[125]	validation_0-logloss:0.607715
[126]	validation_0-logloss:0.607605
[127]	validation_0-logloss:0.607776
[128]	validation_0-logloss:0.607894
[129]	validation_0-logloss:0.608002
[130]	validation_0-logloss:0.607919
[131]	validation_0-logloss:0.608004
[132]	validation_0-logloss:0.607901
[133]	validation_0-logloss:0.607941
[134]	validation_0-logloss:0.607968
[135]	validation_0-logloss:0.608087
[136]	validation_0-logloss:0.60815
[137]	validation_0-logloss:0.608169
[138]	validation_0-logloss:0.608113
[139]	validation_0-logloss:0.608142
[140]	validation_0-logloss:0.607964
Stopping. Best iteration:
[40]	validation_0-logloss:0.590576

Kaggle Test Data being obtained
Finished getting kaggle test data
